"ParticipantID","Age","Location","DietType","LocalFoodFrequency","TransportationMode","EnergySource","HomeType","HomeSize","ClothingFrequency","SustainableBrands","EnvironmentalAwareness","CommunityInvolvement","MonthlyElectricityConsumption","MonthlyWaterConsumption","Gender","UsingPlasticProducts","DisposalMethods","PhysicalActivities","Rating","energy_score","transportation_score","disposal_score","electricity_score","water_score","sustainability_score"
384,62,"Urban","Mostly Animal-Based","Sometimes","Car","Renewable","House",1637,"Rarely",FALSE,4,"Low",158,3134,"Female","Rarely","Landfill","High",4,3,1,1,3.15189873417722,1.67517549457562,1.88270742287528
385,36,"Rural","Balanced","Rarely","Car","Mixed","Apartment",2055,"Rarely",TRUE,2,"High",302,4637,"Prefer not to say","Rarely","Recycling","High",4,2,1,2,1.64900662251656,1.13219754151391,1.57812041640305
386,56,"Suburban","Balanced","Sometimes","Public Transit","Non-Renewable","Apartment",1910,"Sometimes",TRUE,1,NA,357,1978,"Non-Binary","Often","Recycling","Low",2,1,2,2,1.39495798319328,2.65419615773509,1.70491541409284
387,73,"Rural","Balanced",NA,"Walk","Mixed","House",1659,"Rarely",FALSE,4,NA,377,3937,"Male",NA,"Composting","High",5,2,3,3,1.3209549071618,1.33350266700533,2.36544575741671
388,56,"Rural","Balanced","Rarely","Walk","Renewable","Other",1662,"Often",TRUE,2,NA,285,923,"Female","Rarely","Composting","Moderate",5,3,3,3,1.74736842105263,5.68797399783315,3.14353424188858
389,42,"Urban","Mostly Plant-Based",NA,"Walk","Non-Renewable","House",2122,"Often",FALSE,2,"Low",267,2079,"Non-Binary","Rarely","Landfill","Moderate",5,1,3,1,1.86516853932584,2.52525252525253,1.83904210645784
390,44,"Rural","Mostly Animal-Based","Often","Walk","Non-Renewable","Other",1691,"Always",FALSE,5,"High",299,538,"Non-Binary","Often","Landfill","Moderate",4,1,3,1,1.66555183946488,9.75836431226766,2.54239161517325
391,22,"Suburban","Mostly Plant-Based","Often","Bike","Non-Renewable","Apartment",1692,"Sometimes",TRUE,3,"Moderate",364,4994,"Female","Rarely","Composting","None",5,1,3,3,1.36813186813187,1.05126151381658,2.04193933819484
392,49,"Rural","Mostly Plant-Based","Sometimes","Bike","Renewable","Other",1095,"Always",FALSE,5,"Moderate",60,2751,"Non-Binary","Often","Landfill","Low",5,3,3,1,8.3,1.90839694656489,3.02083969465649
393,66,"Suburban","Mostly Plant-Based","Often","Walk","Non-Renewable","Apartment",1880,"Sometimes",FALSE,2,"High",126,967,"Male",NA,"Composting","Low",5,1,3,3,3.95238095238095,5.42916235780765,2.73815433101886
394,26,"Suburban","Mostly Animal-Based","Often","Public Transit","Mixed","Apartment",2526,"Sometimes",TRUE,4,NA,339,2208,"Non-Binary",NA,"Combination","Moderate",5,2,2,NA,1.46902654867257,2.37771739130435,NA
395,48,"Rural","Mostly Animal-Based","Sometimes","Bike","Non-Renewable","Apartment",953,"Rarely",FALSE,2,NA,367,1497,"Male","Sometimes","Composting","High",2,1,3,3,1.35694822888283,3.50701402805611,2.28639622569389
396,19,"Suburban","Mostly Animal-Based","Rarely","Public Transit","Mixed","Apartment",989,"Sometimes",FALSE,4,"Low",404,1945,"Male","Rarely","Landfill","High",2,2,2,1,1.23267326732673,2.69922879177378,1.79319020591005
397,48,"Suburban","Mostly Animal-Based",NA,"Public Transit","Mixed","Apartment",664,"Often",TRUE,1,NA,458,3851,"Female","Often","Composting","Moderate",2,2,2,3,1.08733624454148,1.36328226434692,2.04506185088884
398,51,"Urban","Mostly Plant-Based",NA,"Car","Mixed","Apartment",836,"Always",FALSE,2,"Low",55,1166,"Non-Binary","Rarely","Recycling","High",5,2,1,2,9.05454545454545,4.50257289879931,2.65571183533448
399,21,"Suburban","Mostly Plant-Based","Rarely","Walk","Mixed","Apartment",2934,"Often",TRUE,3,"High",190,4313,"Female",NA,"Landfill","Moderate",5,2,3,1,2.62105263157895,1.21725017389288,2.08383028054718
400,30,"Suburban","Mostly Plant-Based","Rarely","Bike","Renewable","Other",1975,"Rarely",FALSE,5,"High",359,1414,"Male","Sometimes","Composting","Low",5,3,3,3,1.38718662952646,3.71287128712871,2.91000579166552
401,59,"Rural","Mostly Plant-Based","Rarely","Walk","Renewable","House",2774,"Sometimes",FALSE,1,NA,101,2751,"Non-Binary","Often","Landfill","None",1,3,3,1,4.93069306930693,1.90839694656489,2.68390900158718
402,18,"Rural","Mostly Animal-Based","Often","Public Transit","Mixed","Other",419,"Rarely",TRUE,4,NA,451,1990,"Female",NA,"Landfill","None",3,2,2,1,1.10421286031042,2.63819095477387,1.77424038150843
403,24,"Urban","Mostly Animal-Based",NA,"Public Transit","Mixed","Other",2652,"Rarely",FALSE,5,"High",494,3442,"Male","Rarely","Recycling","High",5,2,2,2,1.0080971659919,1.52527600232423,1.85333731683161
404,62,"Suburban","Balanced","Sometimes","Bike","Non-Renewable","Apartment",958,"Always",TRUE,4,NA,228,2941,"Prefer not to say","Rarely","Composting","High",5,1,3,3,2.18421052631579,1.78510710642639,2.19693176327422
405,25,"Urban","Mostly Plant-Based","Often","Bike","Renewable","House",1345,"Rarely",TRUE,4,"High",123,1234,"Female","Rarely","Composting","High",5,3,3,3,4.04878048780488,4.25445705024311,3.2303237538048
406,37,"Urban","Balanced","Sometimes","Car","Non-Renewable","House",2456,"Often",FALSE,2,NA,400,4500,"Male","Often","Landfill","Low",4,1,1,1,1.245,1.16666666666667,1.04116666666667
407,29,"Rural","Mostly Animal-Based","Rarely","Car","Non-Renewable","House",1876,"Often",FALSE,1,"Low",400,4500,"Male","Often","Landfill","Low",1,1,1,1,1.245,1.16666666666667,1.04116666666667
408,31,"Suburban","Balanced","Often","Bike","Renewable","Apartment",854,"Sometimes",FALSE,3,"Moderate",280,3200,"Non-Binary","Sometimes","Recycling","Moderate",3,3,3,2,1.77857142857143,1.640625,2.54191964285714
409,62,"Rural","Mostly Plant-Based",NA,"Walk","Renewable","House",1234,"Rarely",TRUE,4,"High",150,2000,"Female","Rarely","Recycling","High",4,3,3,2,3.32,2.625,2.7945
410,26,"Urban","Balanced","Sometimes","Car","Non-Renewable","Other",567,"Often",FALSE,3,"Low",400,4500,"Male","Often","Landfill","Low",2,1,1,1,1.245,1.16666666666667,1.04116666666667
411,48,"Suburban","Mostly Plant-Based","Often","Public Transit","Mixed","Apartment",1198,"Sometimes",TRUE,5,"High",280,3200,"Non-Binary","Sometimes","Recycling","Moderate",5,2,2,2,1.77857142857143,1.640625,1.94191964285714
412,22,"Urban","Mostly Animal-Based","Rarely","Bike","Non-Renewable","House",2123,"Often",FALSE,2,NA,400,4500,"Male","Often","Landfill","Low",3,1,3,1,1.245,1.16666666666667,1.64116666666667
413,59,"Rural","Balanced","Sometimes","Car","Non-Renewable","Other",789,"Often",FALSE,1,"Low",400,4500,"Male","Often","Landfill","Low",1,1,1,1,1.245,1.16666666666667,1.04116666666667
414,35,"Urban","Mostly Plant-Based","Often","Walk","Renewable","Apartment",1345,"Sometimes",TRUE,4,"Moderate",150,2000,"Female","Rarely","Recycling","High",4,3,3,2,3.32,2.625,2.7945
415,41,"Suburban","Balanced","Sometimes","Car","Non-Renewable","House",2345,"Often",FALSE,2,NA,400,4500,"Male","Often","Landfill","Low",2,1,1,1,1.245,1.16666666666667,1.04116666666667
416,52,"Rural","Mostly Plant-Based",NA,"Public Transit","Mixed","House",1567,"Rarely",TRUE,5,"High",280,3200,"Non-Binary","Sometimes","Recycling","Moderate",5,2,2,2,1.77857142857143,1.640625,1.94191964285714
417,28,"Suburban","Mostly Animal-Based","Rarely","Bike","Renewable","Other",678,"Sometimes",FALSE,3,"Moderate",400,4500,"Male","Often","Landfill","Low",3,3,3,1,1.245,1.16666666666667,2.24116666666667
418,65,"Urban","Balanced","Sometimes","Car","Non-Renewable","Apartment",987,"Often",FALSE,1,"Low",400,4500,"Male","Often","Landfill","Low",1,1,1,1,1.245,1.16666666666667,1.04116666666667
419,58,"Urban","Mostly Animal-Based","Rarely","Walk","Renewable","Apartment",1996,"Rarely",FALSE,5,NA,388,2092,"Male","Often","Recycling","Moderate",4,3,3,2,1.28350515463918,2.50956022944551,2.57930653840847
420,46,"Rural","Balanced","Often","Bike","Non-Renewable","Other",589,"Sometimes",TRUE,2,"Moderate",207,1618,"Non-Binary","Often","Landfill","High",5,1,3,1,2.40579710144928,3.24474660074166,1.96505437021909
421,39,"Rural","Mostly Plant-Based","Rarely","Car","Mixed","House",1361,"Always",FALSE,3,"High",496,3051,"Female","Sometimes","Combination","Low",3,2,1,NA,1.00403225806452,1.72074729596853,NA
422,64,"Urban","Mostly Animal-Based",NA,"Walk","Renewable","Apartment",2426,"Sometimes",FALSE,5,"Moderate",479,1765,"Female",NA,"Combination","Low",4,3,3,NA,1.03966597077244,2.97450424929178,NA
423,53,"Rural","Balanced","Often","Bike","Renewable","House",2896,"Always",TRUE,5,"Moderate",202,1996,"Female","Sometimes","Combination","Moderate",5,3,3,NA,2.46534653465347,2.63026052104208,NA
424,63,"Suburban","Mostly Plant-Based","Sometimes","Public Transit","Mixed","Other",2859,"Sometimes",FALSE,4,"High",151,4008,"Non-Binary",NA,"Recycling","Low",3,2,2,2,3.29801324503311,1.30988023952096,2.06078934845541
425,24,"Urban","Balanced","Sometimes","Public Transit","Mixed","House",2522,"Often",FALSE,1,"Moderate",491,3963,"Non-Binary","Rarely","Recycling","High",5,2,2,2,1.0142566191446,1.32475397426192,1.83390105934065
426,65,"Rural","Mostly Animal-Based","Rarely","Bike","Mixed","House",2764,"Always",FALSE,4,"Moderate",205,4702,"Female","Rarely","Combination","Moderate",5,2,3,NA,2.42926829268293,1.11654615057422,NA
427,57,"Suburban","Mostly Plant-Based","Rarely","Public Transit","Renewable","House",2966,"Often",TRUE,1,"High",421,3790,"Male","Often","Recycling","None",5,3,2,2,1.18289786223278,1.38522427440633,2.15681221366391
428,32,"Urban","Mostly Plant-Based",NA,"Car","Non-Renewable","Other",2715,"Sometimes",FALSE,2,"Moderate",294,1197,"Male","Often","Recycling","Moderate",5,1,1,2,1.69387755102041,4.3859649122807,1.60798424633011
429,21,"Suburban","Balanced","Often","Public Transit","Non-Renewable","Other",1965,"Rarely",FALSE,5,"Moderate",236,4968,"Female","Rarely","Recycling","Low",4,1,2,2,2.11016949152542,1.05676328502415,1.61669327765496
430,66,"Urban","Mostly Plant-Based","Often","Bike","Mixed","House",1588,"Rarely",FALSE,2,"High",327,4111,"Prefer not to say","Rarely","Composting","None",5,2,3,3,1.52293577981651,1.27706154220384,2.37999973220204
431,39,"Rural","Mostly Animal-Based",NA,"Public Transit","Renewable","Apartment",852,"Always",FALSE,4,NA,383,2181,"Male","Rarely","Combination","Low",3,3,2,NA,1.30026109660574,2.40715268225585,NA
432,66,"Urban","Mostly Animal-Based","Often","Walk","Mixed","House",2510,"Often",FALSE,1,"High",382,3530,"Female","Rarely","Combination","High",5,2,3,NA,1.30366492146597,1.48725212464589,NA
433,60,"Rural","Mostly Animal-Based","Rarely","Walk","Non-Renewable","Apartment",1290,"Always",FALSE,2,"Low",333,1591,"Male",NA,"Combination","Low",5,1,3,NA,1.4954954954955,3.29981143934632,NA
434,36,"Suburban","Mostly Animal-Based","Sometimes","Car","Mixed","House",1040,"Always",TRUE,1,"Low",383,3973,"Male","Sometimes","Recycling","None",1,2,1,2,1.30026109660574,1.32141958217971,1.56216806787855
435,31,"Urban","Balanced","Often","Walk","Non-Renewable","House",1193,"Often",FALSE,4,NA,103,1918,"Prefer not to say","Rarely","Combination","Moderate",4,1,3,NA,4.83495145631068,2.73722627737226,NA
436,42,"Urban","Balanced","Often","Car","Mixed","Apartment",2541,"Sometimes",FALSE,1,"Moderate",276,4012,"Prefer not to say","Often","Recycling","None",4,2,1,2,1.80434782608696,1.30857427716849,1.61129221032554
437,21,"Rural","Mostly Plant-Based","Sometimes","Bike","Non-Renewable","Apartment",1991,"Always",TRUE,2,NA,427,3156,"Prefer not to say","Rarely","Composting","High",1,1,3,3,1.16627634660422,1.66349809885932,2.08297744454635
438,32,"Urban","Balanced","Rarely","Public Transit","Mixed","Apartment",2400,"Sometimes",FALSE,2,"Low",422,3857,"Prefer not to say","Rarely","Combination","None",5,2,2,NA,1.18009478672986,1.36116152450091,NA
439,60,"Urban","Mostly Plant-Based",NA,"Bike","Renewable","Other",2575,"Sometimes",FALSE,2,"High",335,2294,"Male","Sometimes","Composting","Low",5,3,3,3,1.4865671641791,2.28857890148213,2.77751460656612
440,45,"Suburban","Mostly Plant-Based","Rarely","Bike","Non-Renewable","House",1231,"Sometimes",FALSE,4,"Moderate",275,3367,"Prefer not to say","Often","Landfill","High",3,1,3,1,1.81090909090909,1.55925155925156,1.73701606501607
441,56,"Suburban","Mostly Animal-Based",NA,"Car","Mixed","Apartment",691,"Often",TRUE,1,"Moderate",491,3961,"Prefer not to say",NA,"Recycling","Moderate",4,2,1,2,1.0142566191446,1.32542287301187,1.53396794921565
442,53,"Urban","Mostly Plant-Based","Rarely","Walk","Renewable","House",2063,"Always",FALSE,3,"Moderate",345,1891,"Male","Rarely","Composting","None",5,3,3,3,1.44347826086957,2.77630883130619,2.82197870921757
443,21,"Suburban","Mostly Animal-Based","Often","Car","Non-Renewable","Apartment",1632,"Sometimes",TRUE,3,"High",191,1399,"Female","Sometimes","Combination","High",1,1,1,NA,2.60732984293194,3.75268048606147,NA
444,36,"Suburban","Balanced","Often","Walk","Non-Renewable","Apartment",668,"Always",FALSE,3,"Low",442,4638,"Prefer not to say","Sometimes","Recycling","None",4,1,3,2,1.12669683257919,1.13195342820181,1.8258650260781
445,21,"Suburban","Mostly Animal-Based","Sometimes","Walk","Mixed","Other",2274,"Rarely",TRUE,4,"High",123,1965,"Female","Often","Landfill","Low",5,2,3,1,4.04878048780488,2.67175572519084,2.37205362129957
446,57,"Suburban","Mostly Plant-Based","Often","Car","Renewable","Apartment",1360,"Sometimes",FALSE,2,"Low",349,3825,"Male","Rarely","Recycling","High",3,3,1,2,1.4269340974212,1.37254901960784,1.8799483117029
447,34,"Suburban","Balanced","Rarely","Walk","Non-Renewable","Other",2875,"Sometimes",FALSE,4,NA,425,3819,"Male","Often","Composting","Low",5,1,3,3,1.17176470588235,1.37470542026709,2.05464701261494
448,24,"Rural","Mostly Plant-Based","Rarely","Walk","Renewable","Apartment",857,"Sometimes",FALSE,5,"Moderate",496,3679,"Female","Often","Landfill","High",5,3,3,1,1.00403225806452,1.42701821147051,2.2431050469535
449,36,"Urban","Balanced","Often","Car","Mixed","House",1808,"Often",FALSE,1,NA,497,1542,"Male","Rarely","Landfill","Moderate",1,2,1,1,1.00201207243461,3.40466926070039,1.5406681333135
450,62,"Rural","Balanced","Sometimes","Bike","Renewable","House",2618,"Always",FALSE,5,"High",356,1241,"Female","Sometimes","Recycling","High",5,3,3,2,1.39887640449438,4.23045930701048,2.76293357115049
451,35,"Suburban","Mostly Plant-Based",NA,"Walk","Mixed","Apartment",1638,"Often",TRUE,5,"Moderate",452,2717,"Male","Rarely","Combination","Low",5,2,3,NA,1.10176991150442,1.93227824806772,NA
452,58,"Rural","Mostly Animal-Based",NA,"Public Transit","Renewable","House",1234,"Sometimes",FALSE,2,"High",286,4889,"Prefer not to say","Rarely","Landfill","None",1,3,2,1,1.74125874125874,1.07383923092657,1.98150979721853
453,32,"Rural","Mostly Plant-Based","Rarely","Walk","Mixed","House",1850,"Often",FALSE,1,"High",397,4076,"Female","Rarely","Recycling","Low",5,2,3,2,1.2544080604534,1.28802747791953,2.15424355383729
454,55,"Suburban","Mostly Animal-Based",NA,"Car","Mixed","House",871,"Often",FALSE,5,NA,385,2066,"Non-Binary","Often","Recycling","Low",1,2,1,2,1.29350649350649,2.54114230396902,1.68346487974755
455,70,"Suburban","Mostly Plant-Based","Often","Car","Renewable","Apartment",2446,"Always",TRUE,1,"High",254,692,"Prefer not to say","Rarely","Composting","Moderate",5,3,1,3,1.96062992125984,7.58670520231214,2.7547335123572
456,61,"Suburban","Mostly Plant-Based","Rarely","Car","Renewable","Other",2628,"Always",FALSE,4,"High",456,2226,"Female",NA,"Landfill","High",5,3,1,1,1.09210526315789,2.35849056603774,1.74505958291956
457,58,"Rural","Balanced","Often","Car","Mixed","House",1344,"Often",FALSE,2,"High",327,4873,"Male","Sometimes","Landfill","None",1,2,1,1,1.52293577981651,1.0773650728504,1.36003008526669
458,21,"Suburban","Mostly Plant-Based",NA,"Bike","Renewable","Other",2859,"Rarely",FALSE,1,"Low",331,3863,"Prefer not to say",NA,"Recycling","Low",4,3,3,2,1.50453172205438,1.35904737250841,2.48635790945628
459,58,"Urban","Mostly Animal-Based","Often","Walk","Mixed","House",1361,"Always",FALSE,5,NA,226,1501,"Male","Rarely","Combination","High",5,2,3,NA,2.20353982300885,3.49766822118588,NA
460,42,"Urban","Mostly Plant-Based","Rarely","Public Transit","Non-Renewable","House",2453,"Rarely",FALSE,2,"Low",490,1290,"Non-Binary",NA,"Recycling","Moderate",4,1,2,2,1.01632653061224,4.06976744186047,1.80860939724727
461,26,"Suburban","Balanced","Rarely","Car","Non-Renewable","Apartment",1953,"Always",FALSE,1,NA,157,3181,"Male","Rarely","Composting","Moderate",2,1,1,3,3.17197452229299,1.65042439484439,1.68223989171374
462,43,"Suburban","Mostly Animal-Based",NA,"Bike","Renewable","House",1808,"Often",FALSE,5,NA,320,608,"Non-Binary",NA,"Recycling","High",4,3,3,2,1.55625,8.63486842105263,3.21911184210526
463,58,"Rural","Balanced","Rarely","Public Transit","Renewable","Apartment",828,"Always",FALSE,3,"Low",433,4032,"Non-Binary","Sometimes","Composting","Low",2,3,2,3,1.15011547344111,1.30208333333333,2.34521988067744
464,68,"Urban","Balanced","Rarely","Walk","Renewable","Apartment",851,"Often",FALSE,4,NA,203,3963,"Prefer not to say","Often","Combination","Moderate",3,3,3,NA,2.45320197044335,1.32475397426192,NA
465,27,"Suburban","Balanced","Sometimes","Car","Mixed","House",2458,"Sometimes",FALSE,5,"Moderate",494,4560,"Female","Sometimes","Combination","Moderate",2,2,1,NA,1.0080971659919,1.15131578947368,NA
466,50,"Urban","Mostly Plant-Based","Often","Bike","Renewable","House",2321,"Rarely",FALSE,3,NA,438,2311,"Non-Binary","Rarely","Composting","Moderate",5,3,3,3,1.13698630136986,2.27174383383817,2.7408730135208
467,19,"Urban","Mostly Animal-Based","Often","Public Transit","Mixed","House",441,"Always",FALSE,2,"Moderate",155,2162,"Prefer not to say",NA,"Landfill","Low",4,2,2,1,3.21290322580645,2.42830712303423,1.96412103488407
468,46,"Urban","Mostly Animal-Based",NA,"Public Transit","Non-Renewable","Apartment",1927,"Rarely",FALSE,1,"Moderate",352,3825,"Prefer not to say","Rarely","Landfill","Low",1,1,2,1,1.41477272727273,1.37254901960784,1.37873217468806
469,36,"Rural","Balanced","Rarely","Car","Mixed","Other",844,"Always",TRUE,4,"Moderate",105,2957,"Male","Rarely","Composting","Moderate",5,2,1,3,4.74285714285714,1.77544808927968,2.15183052321368
470,26,"Suburban","Balanced","Sometimes","Bike","Mixed","Other",2359,"Always",FALSE,1,"Low",294,4943,"Male","Often","Landfill","Low",2,2,3,1,1.69387755102041,1.06210803155978,1.97559855825802
471,45,"Rural","Mostly Plant-Based","Often","Walk","Renewable","House",1345,"Rarely",TRUE,4,"High",123,1234,"Female","Rarely","Composting","High",5,3,3,3,4.04878048780488,4.25445705024311,3.2303237538048
472,32,"Suburban","Balanced","Sometimes","Car","Non-Renewable","House",2456,"Often",FALSE,2,NA,400,4500,"Male","Often","Landfill","Low",4,1,1,1,1.245,1.16666666666667,1.04116666666667
473,29,"Rural","Mostly Animal-Based","Rarely","Car","Non-Renewable","House",1876,"Often",FALSE,1,"Low",400,4500,"Male","Often","Landfill","Low",1,1,1,1,1.245,1.16666666666667,1.04116666666667
474,31,"Suburban","Balanced","Often","Bike","Renewable","Apartment",854,"Sometimes",FALSE,3,"Moderate",280,3200,"Non-Binary","Sometimes","Recycling","Moderate",3,3,3,2,1.77857142857143,1.640625,2.54191964285714
475,62,"Rural","Mostly Plant-Based",NA,"Walk","Renewable","House",1234,"Rarely",TRUE,4,"High",150,2000,"Female","Rarely","Recycling","High",4,3,3,2,3.32,2.625,2.7945
476,26,"Urban","Balanced","Sometimes","Car","Non-Renewable","Other",567,"Often",FALSE,3,"Low",400,4500,"Male","Often","Landfill","Low",2,1,1,1,1.245,1.16666666666667,1.04116666666667
477,48,"Suburban","Mostly Plant-Based","Often","Public Transit","Mixed","Apartment",1198,"Sometimes",TRUE,5,"High",280,3200,"Non-Binary","Sometimes","Recycling","Moderate",5,2,2,2,1.77857142857143,1.640625,1.94191964285714
478,22,"Urban","Mostly Animal-Based","Rarely","Bike","Non-Renewable","House",2123,"Often",FALSE,2,NA,400,4500,"Male","Often","Landfill","Low",3,1,3,1,1.245,1.16666666666667,1.64116666666667
479,59,"Rural","Balanced","Sometimes","Car","Non-Renewable","Other",789,"Often",FALSE,1,"Low",400,4500,"Male","Often","Landfill","Low",1,1,1,1,1.245,1.16666666666667,1.04116666666667
480,35,"Urban","Mostly Plant-Based","Often","Walk","Renewable","Apartment",1345,"Sometimes",TRUE,4,"Moderate",150,2000,"Female","Rarely","Recycling","High",4,3,3,2,3.32,2.625,2.7945
481,41,"Suburban","Balanced","Sometimes","Car","Non-Renewable","House",2345,"Often",FALSE,2,NA,400,4500,"Male","Often","Landfill","Low",2,1,1,1,1.245,1.16666666666667,1.04116666666667
482,52,"Rural","Mostly Plant-Based",NA,"Public Transit","Mixed","House",1567,"Rarely",TRUE,5,"High",280,3200,"Non-Binary","Sometimes","Recycling","Moderate",5,2,2,2,1.77857142857143,1.640625,1.94191964285714
483,28,"Suburban","Mostly Animal-Based","Rarely","Bike","Renewable","Other",678,"Sometimes",FALSE,3,"Moderate",400,4500,"Male","Often","Landfill","Low",3,3,3,1,1.245,1.16666666666667,2.24116666666667
484,65,"Urban","Balanced","Sometimes","Car","Non-Renewable","Apartment",987,"Often",FALSE,1,"Low",400,4500,"Male","Often","Landfill","Low",1,1,1,1,1.245,1.16666666666667,1.04116666666667
485,39,"Rural","Mostly Plant-Based","Often","Walk","Renewable","House",1890,"Sometimes",TRUE,5,"High",150,2000,"Female","Rarely","Recycling","High",4,3,3,2,3.32,2.625,2.7945
486,24,"Urban","Balanced","Sometimes","Public Transit","Non-Renewable","Other",567,"Often",FALSE,2,"Low",400,4500,"Male","Often","Landfill","Low",2,1,2,1,1.245,1.16666666666667,1.34116666666667
487,50,"Suburban","Mostly Plant-Based",NA,"Bike","Mixed","Apartment",1123,"Rarely",TRUE,4,"High",280,3200,"Non-Binary","Sometimes","Recycling","Moderate",5,2,3,2,1.77857142857143,1.640625,2.24191964285714
489,33,"Urban","Mostly Animal-Based","Rarely","Car","Non-Renewable","House",2567,"Often",FALSE,3,NA,400,4500,"Male","Often","Landfill","Low",3,1,1,1,1.245,1.16666666666667,1.04116666666667
490,61,"Rural","Balanced","Sometimes","Public Transit","Non-Renewable","Apartment",890,"Often",FALSE,1,"Low",400,4500,"Male","Often","Landfill","Low",1,1,2,1,1.245,1.16666666666667,1.34116666666667
491,36,"Urban","Mostly Plant-Based","Often","Walk","Renewable","House",1987,"Sometimes",TRUE,4,"Moderate",150,2000,"Female","Rarely","Recycling","High",4,3,3,2,3.32,2.625,2.7945
492,45,"Suburban","Balanced","Sometimes","Car","Non-Renewable","Other",765,"Often",FALSE,2,NA,400,4500,"Male","Often","Landfill","Low",2,1,1,1,1.245,1.16666666666667,1.04116666666667
493,53,"Rural","Mostly Plant-Based",NA,"Public Transit","Mixed","Apartment",1098,"Rarely",TRUE,5,"High",280,3200,"Non-Binary","Sometimes","Recycling","Moderate",5,2,2,2,1.77857142857143,1.640625,1.94191964285714
494,27,"Suburban","Mostly Animal-Based","Rarely","Bike","Renewable","House",2345,"Sometimes",FALSE,3,"Moderate",400,4500,"Male","Often","Landfill","Low",3,3,3,1,1.245,1.16666666666667,2.24116666666667
495,64,"Urban","Balanced","Sometimes","Car","Non-Renewable","Other",654,"Often",FALSE,2,"Low",400,4500,"Male","Often","Landfill","Low",1,1,1,1,1.245,1.16666666666667,1.04116666666667
496,38,"Rural","Mostly Plant-Based","Often","Walk","Renewable","House",1789,"Sometimes",TRUE,4,"High",150,2000,"Female","Rarely","Recycling","High",4,3,3,2,3.32,2.625,2.7945
497,25,"Urban","Balanced","Sometimes","Public Transit","Non-Renewable","Apartment",987,"Often",FALSE,2,"Low",400,4500,"Male","Often","Landfill","Low",2,1,2,1,1.245,1.16666666666667,1.34116666666667
498,51,"Suburban","Mostly Plant-Based",NA,"Bike","Mixed","House",1678,"Rarely",TRUE,5,"High",280,3200,"Non-Binary","Sometimes","Recycling","Moderate",5,2,3,2,1.77857142857143,1.640625,2.24191964285714
499,32,"Rural","Mostly Plant-Based","Rarely","Walk","Mixed","House",1850,"Often",FALSE,1,"High",397,4076,"Female","Rarely","Recycling","Low",5,2,3,2,1.2544080604534,1.28802747791953,2.15424355383729
500,55,"Suburban","Mostly Animal-Based",NA,"Car","Mixed","House",871,"Often",FALSE,5,NA,385,2066,"Non-Binary","Often","Recycling","Low",1,2,1,2,1.29350649350649,2.54114230396902,1.68346487974755
